Date,Open,High,Low,Close,WAP
08-11-12,794.25,798.35,790.25,796.6,794.4977901
09-11-12,794.5,803.55,786,788.6,791.9564382
12-11-12,785.35,789.45,778.75,786.95,783.9370491
13-11-12,790,792.5,782.95,789.65,789.4164292
15-11-12,788.9,788.9,777.2,784.7,781.8296496
16-11-12,790,792.75,771.2,775.45,782.3993519
19-11-12,776,778,762.25,774.25,769.3816685
20-11-12,781.8,781.8,761.15,764.45,770.0185116
21-11-12,767.8,772,761,770.25,766.8368908
22-11-12,772.05,773,761.95,766.25,767.1044677
23-11-12,766.85,775.8,766.8,773.1,772.1302338
26-11-12,774.25,779.5,770.9,773.4,774.6173532
27-11-12,777.2,788,774,786.2,782.2358822
29-11-12,783.25,803,783.2,796.5,796.6201265
30-11-12,796.9,807.8,790.55,793.9,799.6490451
03-12-12,795.7,807,789.6,803.7,799.9557444
04-12-12,805.3,825,805.3,823.7,818.0553559
05-12-12,828,837,820.5,830.9,830.8721831
06-12-12,836,844,821.9,841.65,833.0860069
07-12-12,840,849.2,830,834.2,841.1644821
10-12-12,834,838.05,822,827.45,828.5853285
11-12-12,831,837.95,815.25,819.6,825.9923826
12-12-12,823.4,833.8,819.8,832.15,828.4028186
13-12-12,832.6,840.3,830.1,832.9,835.3278051
14-12-12,834,846,829,839.2,839.8426723
17-12-12,834.8,843.85,831.05,833.85,839.4586887
18-12-12,835,839.1,826.1,830.95,831.402884
19-12-12,835.4,842.4,834.25,839.35,838.383673
20-12-12,840.6,841,830,837.05,835.7343406
21-12-12,833.1,834.1,820.5,822.95,827.6303779
24-12-12,825,827,816.15,820,819.4944739
26-12-12,821.55,835.95,821.55,828,829.7833107
27-12-12,830,831.7,815.15,818.05,824.8068798
28-12-12,823,845,822,840.35,835.8338878
31-12-12,841.5,849.4,836.55,839.1,841.9611192
01-01-13,844.75,846,839.2,840.65,842.540559
02-01-13,845,855.9,843,847.75,849.6587381
03-01-13,848.35,861.95,845,860.55,855.7650263
04-01-13,860.6,864.5,853.7,860.75,860.0127635
07-01-13,863.6,870.7,851.65,855.15,859.769087
08-01-13,855,858.15,848,850.35,852.190526
09-01-13,853,859.15,848.3,851.55,854.3808484
10-01-13,856.05,858.5,847.05,849.55,851.3020386
11-01-13,850.55,853.7,836.3,839.25,841.3847788
14-01-13,838,853,838,846.8,844.0263448
15-01-13,847.2,851.45,838.1,845.85,844.1434949
16-01-13,847.4,870,846.05,860.4,863.572641
17-01-13,862.45,893.1,860.45,889.65,879.0707059
18-01-13,894.15,902.7,885.3,898.95,895.8967152
21-01-13,936.15,954.8,918.15,920.05,930.1526861
22-01-13,920,930.6,916.2,920.55,924.337982
23-01-13,921.5,928.45,916,923.4,922.598543
24-01-13,925,928.3,906.65,914.35,915.975629
25-01-13,915,917.6,906,911.9,910.9844426
28-01-13,910.35,914.8,895,897.65,900.6703492
29-01-13,895.5,901.45,880.05,882.55,891.0687596
30-01-13,886.35,902.85,886.35,899.05,899.26996
31-01-13,900,900,883.55,886.55,888.4180929
01-02-13,891,899,883.65,893.45,892.2984248
04-02-13,894.35,900.6,883.6,886.35,892.7281936
05-02-13,884,886,874,876.35,877.6569389
06-02-13,879.15,882.9,871.15,874.9,877.0781276
07-02-13,871.9,881.5,868.4,871.05,873.6540926
08-02-13,872,873.85,858,864.2,866.6188242
11-02-13,864.3,873.9,861,867.8,868.3401939
12-02-13,869.4,879.85,866.2,875.95,874.1653728
13-02-13,881,888,873.5,878.25,881.5394994
14-02-13,880,882.85,850.25,855.15,868.9786896
15-02-13,855,857,834.5,844.85,843.6659363
18-02-13,845.55,854.6,845,847.3,850.1450445
19-02-13,850.4,855.9,835.05,848.8,842.843185
20-02-13,856.35,878.5,856.35,875.35,870.2326323
21-02-13,868,877.05,852.55,856.75,864.4918506
22-02-13,859,871.9,858,862.65,865.7288443
25-02-13,864.05,866,851.25,853.95,855.2945205
26-02-13,849.7,849.7,819.35,823.95,832.357669
27-02-13,828.65,840.65,827,831.2,834.0736227
28-02-13,838,839.7,805.8,814.65,822.0021195
01-03-13,815.3,818,806,809.5,811.1401885
04-03-13,809.5,817.7,804.5,812.55,812.4082582
05-03-13,817.5,833.6,817.5,826.3,827.4764906
06-03-13,831.1,837.85,827.25,834.8,833.656173
07-03-13,830,840.9,824.2,835.65,829.3172727
08-03-13,841.25,853.5,840.05,851,847.6752025
11-03-13,851,860.7,840.15,843.7,851.9706532
12-03-13,850,854.9,843.55,847.5,849.728086
13-03-13,843.45,856.3,840,843.85,849.7692988
14-03-13,844,863.15,835.4,860.65,851.3390357
15-03-13,863.25,869,838.55,843.8,849.094223
18-03-13,834,843.25,830,831.6,833.7708741
19-03-13,835,839.7,812.3,825.05,827.6852242
20-03-13,830,830,813.25,822.55,820.3149908
21-03-13,825.35,832.15,805,813.55,820.1385541
22-03-13,808.95,820,804.05,810.8,811.0679291
25-03-13,821,822.95,803.05,809.7,814.0100973
26-03-13,804.7,805,781.1,783.4,790.3674208
28-03-13,783.6,784,765,773.7,774.2008234
01-04-13,780.35,790.5,773.75,778.15,779.6249885
02-04-13,780.8,797,778.45,793.95,789.178044
03-04-13,798.7,799.1,772.2,776.8,787.6316319
04-04-13,772.7,777.7,765,766.75,769.3812167
05-04-13,767.35,782,766.2,780.35,776.6743754
08-04-13,778.7,793.5,778,789.15,787.7873473
09-04-13,791.35,795.35,772.5,776.35,783.8697815
10-04-13,780.4,784.8,772.15,781.05,778.6748801
11-04-13,784.95,785.85,765,771.15,771.4842235
12-04-13,766.35,780.6,765.25,775.3,775.0616399
15-04-13,774,799,773.25,793.55,791.3166637
16-04-13,798,809.5,786.2,804.5,801.0546459
17-04-13,805.1,810,770.5,774.1,782.3767853
18-04-13,774.5,785.2,773,781.8,779.8673237
22-04-13,784.55,794.15,778.65,789.75,787.99886
23-04-13,790.35,805.25,786.5,803.5,798.0914575
25-04-13,806,826.85,806,819.3,818.3662503
26-04-13,813.9,824.85,789.8,793.15,803.9430355
29-04-13,795,799,789,792.6,792.2988457
30-04-13,794.35,796.7,778,788.15,784.5710339
02-05-13,787.9,806.8,783.25,802.75,797.096207
03-05-13,804,815.4,798,801.2,806.3480201
06-05-13,802.5,824.7,802.5,821.5,817.7821786
07-05-13,822,835.65,819.4,827.1,827.1386588
08-05-13,828.35,833,822,829.1,827.4465575
09-05-13,830,832,815.5,818.1,819.9664805
10-05-13,813.55,820.5,809,812.1,814.7050407
11-05-13,812.1,815.1,812,813.3,813.4718189
13-05-13,812,824.7,798.6,803,812.3813792
14-05-13,800,808.9,795.5,797.7,803.1001352
15-05-13,803.5,820.25,802.35,818.8,812.9521572
16-05-13,817.4,843.35,816,840.15,835.1522414
17-05-13,840,844.7,823.5,834.4,832.9562596
20-05-13,835.15,854.8,828.55,830.9,842.075697
21-05-13,832,839.5,824.9,827.35,832.8426385
22-05-13,831,834.2,813.5,817.75,821.4559512
23-05-13,815,817,781.6,785.15,796.9701785
24-05-13,792.15,795,780,787.9,788.8926168
27-05-13,803,832,802.2,828.25,820.3672831
28-05-13,830,846.9,825.5,843.15,838.6446638
29-05-13,843,849,833.2,847.25,841.4770651
30-05-13,846.5,846.5,830.5,835.9,837.33141
31-05-13,835,835,802,805.6,813.9322553
03-06-13,807,807,785.25,788.1,791.2337615
04-06-13,791.6,800.45,779.15,780.6,788.9340478
05-06-13,781.25,803,780,800.55,792.5206703
06-06-13,801,802,788.2,792.3,794.8144406
07-06-13,796.95,802,782,784.6,793.9202196
10-06-13,789.8,794.9,782.1,789.45,788.6757945
11-06-13,784.6,791,776.5,786.2,785.1543936
12-06-13,786,797.05,783,791.3,790.2150813
13-06-13,782,792.5,781,789.15,786.4240034
14-06-13,795,817,795,814,807.9521311
17-06-13,816.4,827.65,811.25,825.1,821.1117278
18-06-13,824.6,836.9,817.7,823.6,828.4233679
19-06-13,821.25,832.8,815.5,831.1,825.5954182
20-06-13,821,821,794.8,799.2,804.9833526
21-06-13,801,810.5,785,793.9,798.9265613
24-06-13,790.7,797,779.2,793.3,790.4076012
25-06-13,799,819.75,795,803.8,809.0002343
26-06-13,809.5,814.55,800.85,802.55,807.9067977
27-06-13,815,835.55,814.35,830.45,827.3255333
28-06-13,863,873,845.75,861.85,858.3174869
01-07-13,862,884.95,859.85,882.8,877.3644905
02-07-13,883,890.9,868.6,871.3,879.0678349
03-07-13,861.8,863.95,848.5,850.3,853.1803117
04-07-13,854,870,848,861.65,861.8754539
05-07-13,865.35,884.4,865.35,880.2,878.9318633
08-07-13,871.2,873.8,800,868.3,866.6413664
09-07-13,869.8,881.5,867.5,873.35,872.5105338
10-07-13,874.8,879.7,839.4,856.35,857.6244629
11-07-13,863.1,873.5,859,870.4,867.4579973
12-07-13,873.5,895,870,889.6,882.1295435
15-07-13,885.7,899.1,885.3,895.75,893.5766371
16-07-13,888,904.3,882.8,900.9,896.3722612
17-07-13,903,918.7,903,915.15,912.4750193
18-07-13,919.8,919.9,909.05,917.05,915.2462552
19-07-13,917.05,927.9,912.8,923.15,922.6235992
22-07-13,915,915.25,898.9,908.5,907.6008084
23-07-13,912,924.7,907.15,909.1,917.2694548
24-07-13,906.35,917,895.65,908.6,908.1022101
25-07-13,906,912.1,885,890.85,900.478688
26-07-13,892,903.5,885.8,889.9,895.7493538
29-07-13,888.1,899,882.75,885.6,889.0943316
30-07-13,886.35,892,854.9,858.85,873.7959973
31-07-13,857.35,877.8,843,871.6,858.4720463
01-08-13,875.35,882,846,850.3,858.4717689
02-08-13,858,871.9,850,857.45,861.8888767
05-08-13,859,871.9,855.95,860.9,864.5009265
06-08-13,856.15,863.6,830.15,840.4,846.9531
07-08-13,845.05,880.7,831.55,871,857.4642862
08-08-13,869,872.85,857.75,865.45,865.0873151
12-08-13,865.25,871,840.5,845.3,853.7395552
13-08-13,845.15,859.95,835,852.35,851.5809486
14-08-13,859.5,867.65,847.5,865.15,858.03914
16-08-13,866,866,818.05,825.15,836.6382544
19-08-13,821,834.05,807.15,819.25,818.8928894
20-08-13,810.5,828.7,806.25,822.65,817.8643473
21-08-13,831.3,833.7,779.95,783.85,804.694563
22-08-13,785,808.3,775.15,805.85,792.1560035
23-08-13,812,823.7,808.8,819.05,816.1218429
26-08-13,822,829.8,808.1,820.95,819.4874448
27-08-13,815.75,824.1,800,803.8,812.2827472
28-08-13,795,818,765,811.15,790.6292732
29-08-13,816.75,852.8,813.1,845.35,833.2672309
30-08-13,844,858.35,828.25,851.55,841.5423738
02-09-13,852.3,886.4,852.3,883.75,873.9504366
03-09-13,886.7,890.75,826.7,830.1,851.9923392
04-09-13,835,863.7,833.1,849.35,852.1300418
05-09-13,860,868.9,851.5,861.3,860.894695
06-09-13,869,872.95,842.85,867.55,859.8180176
